year,utility_id,utility_name,sched4part,service_type,data_type,state_code,ownership,residential_revenues,residential_sales,residential_consumers
2007,34,Abbeville City of,A,Bundle,O,SC,Municipal,3623.00,33412.00,3051.00
2007,55,Aberdeen City of,A,Bundle,O,MS,Municipal,3120.00,38835.00,2738.00
2007,59,City of Abbeville,A,Bundle,O,LA,Municipal,4871.00,51888.00,4253.00
2007,84,A & N Electric Coop,A,Bundle,O,MD,Cooperative,322.00,2593.00,334.00
2007,84,A & N Electric Coop,A,Bundle,O,VA,Cooperative,15068.00,125274.00,10414.00
2007,87,City of Ada,A,Bundle,O,MN,Municipal,625.00,11661.00,857.00
2007,97,Adams Electric Coop,A,Bundle,O,IL,Cooperative,12229.00,107425.00,8211.00
2007,108,Adams-Columbia Electric Coop,A,Bundle,O,WI,Cooperative,33506.00,280299.00,33670.00
2007,113,"Agway Energy Services, Inc",B,Energy,O,NY,Retail Power Marketer,30346.00,299640.00,33575.00
2007,118,"Adams Rural Electric Coop, Inc",A,Bundle,O,OH,Cooperative,10511.00,103229.00,7589.00
2007,122,Village of Arcade,A,Bundle,O,NY,Municipal,3254.00,70056.00,3534.00
2007,123,City of Adel,A,Bundle,O,GA,Municipal,2896.00,28744.00,1998.00
2007,149,City of Afton,A,Bundle,O,IA,Municipal,347.00,3501.00,410.00
2007,150,Adrian Public Utilities Comm,A,Bundle,O,MN,Municipal,552.00,6790.00,535.00
2007,155,Agralite Electric Coop,A,Bundle,O,MN,Cooperative,7391.00,81857.00,4404.00
2007,157,Town of Advance,A,Bundle,O,IN,Municipal,309.00,3851.00,251.00
2007,162,Aiken Electric Coop Inc,A,Bundle,O,SC,Cooperative,63470.00,603505.00,41359.00
2007,174,Aitkin Public Utilities Comm,A,Bundle,O,MN,Municipal,918.00,13464.00,1614.00
2007,176,Ajo Improvement Company,A,Bundle,O,AZ,Investor Owned,599.00,4883.00,854.00
2007,182,City of Akron,A,Bundle,O,IA,Municipal,519.00,7844.00,690.00
2007,183,Village of Akron,A,Bundle,O,NY,Municipal,762.00,19472.00,1399.00
2007,191,Alamo Power District No 3,A,Bundle,O,NV,Political Subdivision,661.00,8066.00,617.00
2007,192,Akiachak Native Community Electric Co,A,Bundle,O,AK,Cooperative,294.00,549.00,145.00
2007,195,Alabama Power Co,A,Bundle,O,AL,Investor Owned,1833563.00,18874039.00,1202491.00
2007,198,City of Alton,A,Bundle,O,IA,Municipal,377.00,5940.00,462.00
2007,201,City of Alachua,A,Bundle,O,FL,Municipal,4534.00,39482.00,3422.00
2007,202,Town of Black Creek,A,Bundle,O,NC,Municipal,992.00,9150.00,642.00
2007,207,City of Alameda,A,Bundle,O,CA,Municipal,17787.00,142353.00,29997.00
2007,213,Alaska Electric Light&Power Co,A,Bundle,O,AK,Investor Owned,14224.00,142018.00,13644.00
2007,219,Alaska Power Co,A,Bundle,O,AK,Investor Owned,6108.00,23238.00,4511.00
2007,221,"Alaska Village Elec Coop, Inc",A,Bundle,O,AK,Cooperative,14222.00,27321.00,5838.00
2007,228,City of Albany,A,Bundle,O,MO,Municipal,1029.00,9519.00,822.00
2007,229,City of Albany,A,Bundle,O,IL,Municipal,375.00,4104.00,420.00
2007,230,Albany Water Gas & Light Comm,A,Bundle,O,GA,Municipal,33159.00,420527.00,32063.00
2007,232,City of Albemarle,A,Bundle,O,NC,Municipal,13026.00,124501.00,9787.00
2007,240,Albemarle Electric Member Corp,A,Bundle,O,NC,Cooperative,18957.00,178097.00,11827.00
2007,241,Albertville Municipal Utils Bd,A,Bundle,O,AL,Municipal,9386.00,128109.00,7888.00
2007,244,City of Albion,A,Bundle,O,ID,Municipal,147.00,1974.00,146.00
