description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Total world : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-TOT-TOT.A,34,35.51,31.45,37.52,46.71,49.1,47.64,59.83,63.91,71.77,103.32,96.78
Total world : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-TOT-TOT.A,32.53,33.93,30.24,36.06,43.35,46.15,45.31,56.75,61.4,62.47,81.11,84.27
Total world : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-TOT-TOT.A,45.21,44.9,47.83,54.27,101.31,109.36,96.05,117.18,115.93,180.42,263.48,186.63
Total world : coke,$/short ton,COAL.IMPORT_PRICE.COK-TOT-TOT.A,75.48,75.35,86.52,179.24,221.13,156.44,194.49,465.15,268.37,331.7,389.5,338.16
Argentina,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Argentina : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-AR-TOT.A,--,190.82,176.22,--,--,--,320.2,351.18,348.33,335.44,504.7,488.42
Argentina : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-AR-TOT.A,--,190.82,176.22,--,--,--,320.2,351.18,348.33,335.44,504.7,488.42
Aruba,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Aruba : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-AW-TOT.A,37.2,--,--,38.47,--,20.53,--,--,--,--,116.98,--
Aruba : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-AW-TOT.A,37.2,--,--,38.47,--,20.53,--,--,--,--,116.98,--
Australia,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Australia : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-AU-TOT.A,36,38.52,33.98,41.94,48.5,52.74,31.71,53.19,57.54,56.75,52.72,--
Australia : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-AU-TOT.A,36,33.12,30.35,31.44,31.84,49.73,31.71,53.19,57.54,56.75,52.72,--
Australia : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-AU-TOT.A,--,39.77,35.81,46.91,56.15,59,--,--,--,--,--,--
Australia : coke,$/short ton,COAL.IMPORT_PRICE.COK-AU-TOT.A,--,--,--,267.8,--,--,155.97,--,--,--,439.98,--
Bahamas,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Bahamas : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-BS-TOT.A,--,--,--,--,--,--,35.1,--,--,102.01,--,--
Bahamas : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-BS-TOT.A,--,--,--,--,--,--,35.1,--,--,102.01,--,--
Belgium,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Belgium : coke,$/short ton,COAL.IMPORT_PRICE.COK-BE-TOT.A,--,--,--,262.5,--,--,--,--,--,--,--,--
Brazil,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Brazil : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-BR-TOT.A,31.6,--,--,--,44.4,56.66,--,56.73,--,--,--,--
Brazil : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-BR-TOT.A,31.6,--,--,--,44.4,56.66,--,56.73,--,--,--,--
Brazil : coke,$/short ton,COAL.IMPORT_PRICE.COK-BR-TOT.A,460.2,--,--,136.07,188.1,221.85,225.83,272.15,285.31,287.7,494.41,157.6
British Virgin Islands,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
British Virgin Islands : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-VG-TOT.A,--,--,--,--,--,--,--,--,--,--,102.74,--
British Virgin Islands : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-VG-TOT.A,--,--,--,--,--,--,--,--,--,--,102.74,--
Canada,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Canada : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-CA-TOT.A,44.82,46.81,48.92,53.55,96.67,99.67,89.96,109.91,108.68,167.33,253.79,184.89
Canada : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-CA-TOT.A,41.26,46.18,47.24,49.33,60.91,54.89,55.95,65.57,77.63,84.21,102.48,120.5
Canada : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-CA-TOT.A,45.23,46.94,49.6,55.68,105.8,111.85,97.28,117.18,115.93,180.42,272.42,194.46
Canada : coke,$/short ton,COAL.IMPORT_PRICE.COK-CA-TOT.A,147.38,65.51,92.93,218.23,208.25,203.73,239.85,454.3,242.25,177.46,322.24,329.57
Chile,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Chile : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-CL-TOT.A,453.75,335,--,--,--,--,--,--,--,--,--,--
Chile : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-CL-TOT.A,453.75,335,--,--,--,--,--,--,--,--,--,--
China,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
China : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-CN-TOT.A,49.76,57.17,49.28,55.77,93.35,98.93,111.71,228.09,291.64,223.42,267.33,133.39
China : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-CN-TOT.A,49.76,57.17,49.28,55.77,93.35,98.93,111.71,228.09,291.64,223.42,267.33,133.39
China : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-CN-TOT.A,--,--,--,--,--,--,--,--,--,--,--,124.59
China : coke,$/short ton,COAL.IMPORT_PRICE.COK-CN-TOT.A,73.76,69.41,92.25,158.96,216.45,147.77,201.78,512,223.96,438.96,493.05,1055.83
Colombia,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Colombia : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-CO-TOT.A,29.49,30.86,28.44,34.99,44.82,46.93,46.33,57.01,60.66,63.31,82.89,83.94
Colombia : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-CO-TOT.A,29.49,30.86,28.44,34.99,44.82,46.93,46.33,57.01,60.66,63.31,82.89,83.94
Colombia : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-CO-TOT.A,--,--,--,--,--,--,--,--,--,--,--,81.65
Colombia : coke,$/short ton,COAL.IMPORT_PRICE.COK-CO-TOT.A,--,--,102.68,191.3,208.48,169.11,230.32,401.24,319.54,313.69,345.02,210.78
Czech Republic,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Czech Republic : coke,$/short ton,COAL.IMPORT_PRICE.COK-CZ-TOT.A,--,--,--,--,--,--,--,--,--,--,--,--
Dominican Republic,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
