state,nb_reqs,product,reqs,reqs1_ES,reqs1_age,reqs1_lowincome,reqs1_minprice,reqs1_minsize,reqs1_maxsize,reqs1_mef,reqs1_recycling,reqs_minsize,rebate1,discount1,rebate2,discount2,reb_str,reb_end,reb_str2,reb_end2,online,comments,allocation
AK,2,Refrigerators,ENERGY STAR qualified,yes,,,,,,,,rural,300,,500,,"March 16, 2010","December 15, 2011",-,-,y,eligible for Alaskans with disabilities. Higher amounts listed are for rural residents,"658,000"
AL,1,Refrigerators,ENERGY STAR qualified,yes,,,,,,,,,150,,,,"April 19, 2010","May 5, 2010",-,-,n,,"$4,473,000 "
AR,1,Refrigerators,ENERGY STAR qualified,yes,,,,,,,,,275,,,,"March 15, 2010","December 3, 2010",-,-,n,,"$2,740,000 "
AS,1,Refrigerators,ENERGY STAR qualified,yes,,,,,,,,,250,,,,"April 23, 2010","April 8, 2011",-,-,?,,"100,000"
AZ,2,Refrigerators,ENERGY STAR qualified. Volume greater than or equal to 20 cubic feet,yes,,,,10,,,,,200,,,,"July 1, 2010","September 7, 2010",-,-,n,Offered during Phase 2,"6,237,000"
AZ,2,Refrigerators,ENERGY STAR qualified. Volume greater than or equal to 20 cubic feet,yes,,,,,20,,,,300,,,,"July 1, 2010","September 7, 2010",-,-,n,Offered during Phase 2,"6,237,000"
CA,1,Refrigerators,Annual kWh usage is at least 25% more efficient than the federal standard,yes,,,,,,0.25,,,200,,,,"April 22, 2010","December 6, 2010",-,-,n,Offered during Phase 1,"35,267,000"
CO,2,Refrigerators,ENERGY STAR qualified. Has a volume of at least 12 cubic feet,yes,,,,12,,,yes,,50,,100,,"April 19, 2010","July 1, 2011",-,-,n,higher rebate amount with proof of recycling the replaced unit,"4,739,000"
CT,1,Refrigerators,ENERGY STAR qualified,yes,,,,,,,,,50,,,,"January 25, 2010","July 15, 2010",-,-,y,,"3,359,000"
DC,1,Refrigerators,ENERGY STAR qualified,yes,,,,,,,,,200,,,,"October 29, 2010","December 16, 2011",-,-,y,,"568,000"
